,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Teknāf,50,BD,1586981242,87,20.86,92.31,74.97,3.42
1,Butaritari,96,KI,1586981243,81,3.07,172.79,82.9,17.9
2,Ola,92,RU,1586981243,94,59.58,151.28,20.34,3.47
3,Klaksvík,55,FO,1586981243,80,62.23,-6.59,41.0,19.46
4,Busselton,76,AU,1586981243,62,-33.65,115.33,55.0,6.22
5,Nanortalik,100,GL,1586981243,93,60.14,-45.24,36.25,11.99
6,Ushuaia,20,AR,1586981243,47,-54.8,-68.3,55.4,4.7
7,Saint Paul Harbor,90,US,1586981244,81,57.79,-152.41,44.6,6.93
8,Vaini,75,TO,1586981244,94,-21.2,-175.2,73.4,3.36
9,Rikitea,99,PF,1586981244,72,-23.12,-134.97,76.35,4.61
10,Ko Samui,100,TH,1586981149,71,9.54,99.94,83.62,7.0
11,Leningradskiy,100,RU,1586981244,94,69.38,178.42,16.81,4.85
12,Tuktoyaktuk,40,CA,1586981244,86,69.45,-133.04,26.6,5.82
13,Jamestown,90,US,1586981038,72,42.1,-79.24,39.2,4.7
14,Hermanus,56,ZA,1586980994,91,-34.42,19.23,60.01,2.39
15,Cockburn Town,40,TC,1586981245,70,21.46,-71.14,86.0,16.11
16,Khatanga,0,RU,1586981245,89,71.97,102.5,-9.6,6.35
17,Chui,94,UY,1586981245,72,-33.7,-53.46,64.24,20.62
18,Yellowknife,75,CA,1586981245,73,62.46,-114.35,26.01,6.93
19,Heihe,20,CN,1586981246,63,50.24,127.49,30.2,2.42
20,Qaanaaq,71,GL,1586981003,89,77.48,-69.36,10.33,2.42
21,Hobart,75,AU,1586981085,63,-42.88,147.33,62.6,11.41
22,Ponta do Sol,75,PT,1586981246,77,32.67,-17.1,60.8,10.29
23,East London,24,ZA,1586981246,74,-33.02,27.91,65.14,12.77
24,Esperance,90,AU,1586981247,93,-33.87,121.9,57.2,4.7
25,Aklavik,40,CA,1586981247,64,68.22,-135.01,39.2,2.24
26,Cabo San Lucas,5,MX,1586981247,53,22.89,-109.91,84.0,9.17
27,Iskateley,100,RU,1586981247,94,67.68,53.15,33.4,11.77
28,Saint-Philippe,18,RE,1586981247,69,-21.36,55.77,75.2,6.93
29,Hong Kong,90,HK,1586981169,77,22.29,114.16,70.0,3.36
30,Bluff,56,NZ,1586981248,88,-46.6,168.33,50.0,11.01
31,Bafra,75,TR,1586981248,87,41.57,35.91,48.2,1.12
32,Barcelos,40,PT,1586981248,87,41.54,-8.62,59.0,11.41
33,Mahébourg,40,MU,1586981248,74,-20.41,57.7,78.8,16.11
34,George,91,ZA,1586981248,82,-33.96,22.46,59.0,4.7
35,Lompoc,1,US,1586980995,46,34.64,-120.46,79.0,8.05
36,Hilo,40,US,1586981249,61,19.73,-155.09,79.0,5.82
37,San Cristobal,40,VE,1586981249,49,7.77,-72.22,89.6,10.29
38,Mocuba,0,MZ,1586981249,89,-16.84,36.99,72.82,2.84
39,Fort Nelson,40,CA,1586981249,48,58.81,-122.7,44.6,4.7
40,Tiksi,100,RU,1586981250,91,71.69,128.87,-5.1,9.17
41,North Bend,75,US,1586981250,81,43.41,-124.22,62.01,11.41
42,Bilibino,100,RU,1586981250,84,68.05,166.44,9.37,2.62
43,Kaitangata,26,NZ,1586981250,66,-46.28,169.85,51.01,8.01
44,Kavieng,100,PG,1586981250,71,-2.57,150.8,82.4,1.1
45,Menongue,74,AO,1586981251,50,-14.66,17.69,65.25,1.3
46,Callaway,40,US,1586981251,40,30.15,-85.57,71.6,13.87
47,Avarua,92,CK,1586981251,69,-21.21,-159.78,80.6,4.7
48,Alexandria,7,EG,1586981038,49,31.22,29.96,69.8,4.7
49,Cherskiy,92,RU,1586981251,91,68.75,161.3,2.52,4.05
50,Carlsbad,1,US,1586981169,53,33.16,-117.35,81.0,10.29
51,Naze,70,JP,1586981251,63,28.37,129.48,64.4,11.41
52,Bathsheba,20,BB,1586981252,58,13.22,-59.52,86.0,16.11
53,The Valley,40,AI,1586980987,61,18.22,-63.06,87.8,12.75
54,Mnogovershinnyy,0,RU,1586981252,89,53.94,139.92,25.3,4.29
55,Maltahöhe,0,NA,1586981252,15,-24.83,16.98,62.08,9.37
56,Ürümqi,100,CN,1586981252,58,43.8,87.6,59.0,8.95
57,Shingū,100,JP,1586981253,49,33.73,135.98,53.87,5.53
58,São João da Barra,96,BR,1586981253,62,-21.64,-41.05,86.0,9.17
59,Chokurdakh,100,RU,1586981253,89,70.63,147.92,-6.81,7.72
60,Kapaa,40,US,1586981253,78,22.08,-159.32,78.8,11.41
61,Karratha,82,AU,1586981253,71,-20.74,116.85,81.41,8.43
62,Tahoua,53,NE,1586981253,9,14.89,5.27,86.88,10.71
63,Puerto Ayora,40,EC,1586981253,66,-0.74,-90.35,86.0,19.46
64,Sitka,90,US,1586981254,93,57.05,-135.33,44.6,4.7
65,Saint-Augustin,26,CA,1586981254,83,51.23,-58.65,34.25,15.99
66,Hofn,20,IS,1586981254,45,64.25,-15.21,44.6,11.41
67,Areia Branca,90,BR,1586981027,80,-4.96,-37.14,80.15,8.08
68,Yamachiche,90,CA,1586981254,64,46.27,-72.83,41.0,6.93
69,Letpadan,98,MM,1586981255,81,17.78,95.75,71.67,0.38
70,Valréas,0,FR,1586981255,54,44.38,4.99,59.0,5.82
71,Zaysan,100,KZ,1586981255,61,47.47,84.87,45.45,4.29
72,Asău,4,RO,1586981255,49,46.43,26.4,48.2,1.12
73,Lebu,97,CL,1586981255,67,-37.62,-73.65,60.39,8.84
74,Port Alfred,3,ZA,1586981256,94,-33.59,26.89,61.0,1.99
75,New Norfolk,75,AU,1586981256,63,-42.78,147.06,62.6,11.41
76,Punta Arenas,91,CL,1586981101,50,-53.15,-70.92,57.2,2.24
77,Belyy Yar,97,RU,1586981256,61,53.6,91.39,50.0,6.71
78,Tessalit,100,ML,1586981256,22,20.2,1.01,83.55,6.78
79,La Rioja,18,AR,1586981256,32,-29.41,-66.85,75.61,6.33
80,Hithadhoo,88,MV,1586981256,73,-0.6,73.08,84.36,10.67
81,Yaan,51,NG,1586981257,57,7.38,8.57,87.44,9.28
82,Port Elizabeth,70,ZA,1586981257,93,-33.92,25.57,55.4,3.36
83,Saint George,1,US,1586981174,18,37.1,-113.58,68.0,3.36
84,Mataura,55,NZ,1586981257,88,-46.19,168.86,50.0,11.01
85,Tasiilaq,75,GL,1586981257,80,65.61,-37.64,30.2,3.36
86,Laas,5,IT,1586981257,60,46.62,10.7,59.0,3.71
87,Stryn,75,NO,1586981258,86,61.9,6.72,44.6,27.51
88,Staritsa,100,RU,1586981258,90,56.51,34.94,34.45,7.34
89,Vaitape,45,PF,1586981258,66,-16.52,-151.75,84.06,9.33
90,Moussoro,0,TD,1586981258,12,13.64,16.49,84.31,13.2
91,Jalu,98,LY,1586981258,23,29.03,21.55,80.38,14.43
92,Viedma,79,AR,1586981258,26,-40.81,-63.0,70.47,11.12
93,Herat Province,0,AF,1586981258,42,34.5,62.0,53.19,4.41
94,Caravelas,42,BR,1586981259,82,-17.71,-39.25,79.2,8.39
95,Harper,100,LR,1586981259,81,4.38,-7.72,81.7,5.12
96,Provideniya,75,RU,1586981259,86,64.38,-173.3,30.2,11.18
97,Porto-Novo,0,BJ,1586981259,78,6.5,2.6,83.59,9.35
98,Dikson,62,RU,1586981259,82,73.51,80.55,4.42,5.41
99,Polunochnoye,99,RU,1586981259,91,60.87,60.42,34.72,6.33
100,Gariāband,28,IN,1586981260,23,20.64,82.06,81.55,4.14
101,Zhaotong,90,CN,1586981260,33,27.32,103.72,56.57,0.78
102,Mehamn,75,NO,1586981260,80,71.04,27.85,35.6,13.87
103,Bethel,90,US,1586981036,28,41.37,-73.41,53.6,10.29
104,Carnarvon,75,AU,1586981261,50,-24.87,113.63,75.2,13.87
105,Monrovia,75,LR,1586981250,83,6.3,-10.8,84.2,5.68
106,Cañete,98,CL,1586981261,64,-37.8,-73.4,60.17,2.91
107,Bonavista,100,CA,1586981261,88,48.65,-53.11,35.01,5.01
108,Garh Maharaja,100,PK,1586981261,18,30.83,71.91,79.25,4.38
109,Gavere,32,BE,1586981261,50,50.93,3.69,59.0,5.82
110,Gigmoto,52,PH,1586981261,81,13.78,124.39,81.14,9.71
111,Barrow,90,US,1586981262,85,71.29,-156.79,19.4,21.92
112,Bundaberg,10,AU,1586981262,88,-24.85,152.35,64.4,6.93
113,Quang Ngai,87,VN,1586980988,85,15.12,108.8,73.65,3.71
114,Upernavik,23,GL,1586981262,89,72.79,-56.15,18.86,8.97
115,Cape Town,40,ZA,1586980972,67,-33.93,18.42,62.6,3.36
116,Mar del Plata,20,AR,1586981080,59,-38.0,-57.56,62.6,11.41
117,Qian’an,100,CN,1586981263,42,44.99,124.06,49.66,10.38
118,Atuona,69,PF,1586981263,75,-9.8,-139.03,82.74,12.17
119,Lábrea,69,BR,1586981263,87,-7.26,-64.8,81.37,2.71
120,Pacific Grove,1,US,1586981263,35,36.62,-121.92,80.01,5.5
121,Zambezi,93,ZM,1586981264,64,-13.54,23.1,67.44,4.29
122,Thompson,40,CA,1586981224,41,55.74,-97.86,24.8,13.87
123,Yumen,97,CN,1586981264,25,40.28,97.2,50.99,16.8
124,Ribeira Grande,40,PT,1586981264,71,38.52,-28.7,55.4,19.46
125,Cidreira,49,BR,1586980986,58,-30.18,-50.21,67.57,19.69
126,Wagar,70,SD,1586981265,27,16.15,36.2,71.29,10.83
127,Cape Coast,78,GH,1586981265,82,5.11,-1.25,83.03,7.76
128,San Luis,21,AR,1586981189,25,-33.3,-66.34,72.55,9.04
129,Saskylakh,98,RU,1586981265,90,71.92,114.08,-6.32,5.82
130,Comodoro Rivadavia,40,AR,1586981177,53,-45.87,-67.5,71.6,8.05
131,George Town,40,MY,1586981265,94,5.41,100.34,78.8,0.45
132,Blatná,2,CZ,1586981266,87,49.42,13.88,48.0,3.24
133,Beringovskiy,99,RU,1586981266,97,63.05,179.32,23.16,11.21
134,Daoukro,94,CI,1586981266,90,7.06,-3.96,75.9,4.14
135,Cocobeach,20,GA,1586981266,88,1.0,9.58,82.4,5.82
136,Grande Prairie,40,CA,1586981266,55,55.17,-118.8,37.4,2.24
137,Plettenberg Bay,85,ZA,1586981266,64,-34.05,23.37,61.48,4.72
138,San Andrés,14,CO,1586981267,72,12.58,-81.7,81.73,11.27
139,Ilulissat,75,GL,1586981267,50,69.22,-51.1,30.2,4.7
140,Zhumadian,77,CN,1586981267,78,32.98,114.03,59.41,5.39
141,Vanavara,85,RU,1586981267,80,60.34,102.28,34.66,1.59
142,Faanui,42,PF,1586981267,66,-16.48,-151.75,83.21,9.37
143,Puerto Suárez,20,BO,1586981267,34,-18.95,-57.8,80.6,5.82
144,Yar-Sale,0,RU,1586981268,91,66.83,70.83,13.53,11.21
145,San Clemente,1,US,1586981268,25,33.43,-117.61,82.99,8.05
146,Albany,40,US,1586981268,31,42.6,-73.97,48.99,17.22
147,Husavik,75,IS,1586981268,80,66.04,-17.34,35.6,3.36
148,Ngunguru,15,NZ,1586981268,87,-35.62,174.5,57.99,7.0
149,Torbay,90,CA,1586981116,65,47.67,-52.73,42.01,8.05
150,Stromness,57,GB,1586981268,93,58.97,-3.3,48.2,16.11
151,San Patricio,20,MX,1586981269,78,19.22,-104.7,80.6,9.17
152,Beidao,33,CN,1586981269,37,34.57,105.89,57.36,3.04
153,Norman Wells,75,CA,1586981269,51,65.28,-126.83,39.2,8.05
154,Channel-Port aux Basques,100,CA,1586981269,95,47.57,-59.14,33.53,2.82
155,Shache,100,CN,1586981269,23,38.42,77.24,63.28,14.58
156,Arraial do Cabo,40,BR,1586981270,69,-22.97,-42.03,80.6,6.93
157,Fortuna,1,US,1586981270,87,40.6,-124.16,70.0,10.29
158,Waipawa,53,NZ,1586981270,93,-41.41,175.52,48.2,11.41
159,Port Hardy,75,CA,1586981270,87,50.7,-127.42,48.2,3.36
160,Turan,40,VN,1586981270,83,16.07,108.22,77.0,1.12
161,Sri Aman,94,MY,1586981271,100,1.24,111.46,77.0,0.87
162,San Fernando del Valle de Catamarca,39,AR,1586981271,55,-28.47,-65.79,80.01,5.01
163,Pevek,100,RU,1586981271,94,69.7,170.31,8.94,2.86
164,Río Gallegos,93,AR,1586981271,51,-51.62,-69.22,60.8,2.44
165,Bireun,73,ID,1586981271,75,5.2,96.7,80.29,3.96
166,Bredasdorp,100,ZA,1586981271,82,-34.53,20.04,60.8,3.36
167,Cabedelo,75,BR,1586981272,83,-6.98,-34.83,80.6,8.05
168,Russell,1,US,1586981272,29,32.35,-85.2,68.0,12.75
169,Touros,75,BR,1586981272,83,-5.2,-35.46,80.6,2.24
170,Lagoa,0,PT,1586981272,69,39.05,-27.98,56.66,22.57
171,Culebra,75,PR,1586981272,69,18.3,-65.3,86.0,12.75
172,Longyearbyen,75,SJ,1586981272,74,78.22,15.64,35.6,24.16
173,Saldanha,50,ZA,1586981272,77,-33.01,17.94,60.8,6.93
174,Palmer,40,US,1586981273,26,42.16,-72.33,53.01,19.46
175,Safi,50,MA,1586981273,81,32.3,-9.24,62.69,11.14
176,Cayenne,40,GF,1586981254,62,4.93,-52.33,86.0,11.41
177,Anloga,40,GH,1586981273,79,5.79,0.9,86.0,11.41
178,Fethiye,75,TR,1586981064,59,36.62,29.12,64.4,14.99
179,Guozhen,93,CN,1586981274,30,34.37,107.36,61.09,6.17
180,Srednekolymsk,39,RU,1586981274,91,67.45,153.68,-2.24,10.94
181,Kutum,0,SD,1586981274,14,14.2,24.67,62.73,8.21
182,Eyl,11,SO,1586981274,77,7.98,49.82,83.03,10.8
183,Saint Simons,90,US,1586981274,87,31.14,-81.39,64.0,3.36
184,Puerto Colombia,20,CO,1586981274,55,10.99,-74.95,91.4,13.87
185,Lazurne,100,UA,1586981275,59,46.08,32.53,48.0,11.99
186,Kuching,40,MY,1586981275,88,1.55,110.33,80.6,3.36
187,Zlobin,19,HR,1586981275,58,45.29,14.65,46.99,1.01
188,Kayerkan,0,RU,1586981275,60,69.35,87.76,8.6,11.18
189,Ukiah,1,US,1586981220,35,39.15,-123.21,78.01,4.7
190,Maningrida,91,AU,1586981276,90,-12.07,134.27,75.07,8.75
191,Pisco,0,PE,1586981276,30,-13.7,-76.22,75.99,13.87
192,Ancud,90,CL,1586981276,100,-41.87,-73.82,53.6,18.34
193,Iqaluit,75,CA,1586981000,62,63.75,-68.51,24.8,19.46
194,Chapais,75,CA,1586981276,49,49.78,-74.85,24.8,10.29
195,Taltal,100,CL,1586981276,64,-25.4,-70.48,67.6,6.82
196,Codrington,23,AU,1586981277,91,-38.27,141.97,58.66,12.95
197,Castro,0,BR,1586981277,41,-24.79,-50.01,55.24,0.51
198,Bilma,40,NE,1586981277,11,18.69,12.92,85.8,9.28
199,Geraldton,0,AU,1586981277,77,-28.77,114.6,60.8,10.29
200,Mandlā,68,IN,1586981277,20,22.6,80.38,80.76,0.83
201,Djambala,93,CG,1586981278,65,-2.54,14.75,74.35,0.76
202,Sault Ste. Marie,40,CA,1586981278,54,46.52,-84.33,30.2,14.99
203,Arman',76,RU,1586981278,94,59.7,150.17,18.79,3.8
204,Muscatine,90,US,1586981278,59,41.47,-91.13,39.2,12.75
205,Veinticinco de Mayo,0,AR,1586981278,47,-35.43,-60.17,62.11,5.79
206,Salalah,40,OM,1586981279,74,17.02,54.09,82.4,5.82
207,Megion,100,RU,1586981279,97,61.03,76.11,39.2,6.71
208,College,75,US,1586981279,60,64.86,-147.8,48.0,2.84
209,Kasongo-Lunda,100,CD,1586981280,67,-6.47,16.82,76.32,0.72
210,Nikolskoye,36,RU,1586981280,98,59.7,30.79,32.0,6.71
211,Hasaki,75,JP,1586981280,87,35.73,140.83,50.0,19.46
212,Cap-aux-Meules,75,CA,1586981042,44,47.38,-61.86,41.0,9.17
213,Darova,0,RO,1586981280,69,45.64,21.77,39.2,3.36
214,Vila Velha,99,BR,1586981280,74,-20.33,-40.29,82.4,13.87
215,Kluang,20,MY,1586981280,94,2.03,103.33,77.0,2.24
216,Usinsk,83,RU,1586981281,96,65.99,57.53,30.63,8.88
217,Hervey Bay,21,AU,1586981281,88,-25.3,152.85,64.99,6.93
218,Nkayi,100,CG,1586981281,85,-4.18,13.29,77.72,2.39
219,Andenes,100,NO,1586981281,92,69.31,16.12,32.0,5.82
220,Ingham,90,US,1586981281,65,42.6,-84.38,37.0,10.29
221,Los Llanos de Aridane,20,ES,1586981282,60,28.66,-17.92,69.8,5.82
222,Lixouri,5,GR,1586981282,65,38.2,20.43,51.01,3.0
223,Grindavik,75,IS,1586981282,74,63.84,-22.43,39.2,14.99
224,Acaraú,99,BR,1586981282,85,-2.89,-40.12,78.39,2.86
225,Itoigawa,100,JP,1586981282,85,37.03,137.85,44.01,6.64
226,Nelson Bay,58,AU,1586981282,93,-32.72,152.15,66.99,9.22
227,Nyurba,100,RU,1586981283,94,63.28,118.33,18.34,6.73
228,Lianzhou,28,CN,1586981283,78,24.78,112.38,60.03,1.12
229,Singaraja,47,ID,1586981152,77,-8.11,115.09,81.86,2.91
230,Boende,36,CD,1586981283,68,-0.22,20.87,78.01,2.19
231,Kruisfontein,100,ZA,1586981284,85,-34.0,24.73,58.71,4.7
232,Kilosa,99,TZ,1586981284,78,-6.83,36.98,71.26,2.51
233,Tsimmerbude,75,RU,1586981284,81,54.67,20.13,46.4,17.9
234,Taoudenni,50,ML,1586981284,30,22.68,-3.98,88.09,15.82
235,Zonguldak,100,TR,1586981284,77,41.25,31.83,42.42,7.45
236,Manokwari,74,ID,1586981285,68,-0.87,134.08,80.31,3.22
237,Fairbanks,1,US,1586981285,64,64.84,-147.72,48.0,3.36
238,Antón,20,PA,1586981285,74,8.4,-80.27,84.2,10.29
239,Torquay,0,GB,1586981285,66,50.46,-3.51,51.01,2.24
240,Lata,40,PT,1586981285,67,40.16,-8.33,60.8,11.41
241,Sharanga,100,RU,1586981286,91,57.18,46.54,33.08,17.87
242,Mahibadhoo,87,MV,1586981286,72,3.78,72.97,84.34,6.22
243,Te Anau,63,NZ,1586981286,72,-45.42,167.72,47.41,6.49
244,Tortolì,5,IT,1586981286,76,39.93,9.66,53.6,16.11
245,Caucaguita,24,VE,1586981286,58,10.36,-66.8,81.0,4.0
246,Cabudare,0,VE,1586981286,20,10.03,-69.09,96.8,5.82
247,Benghazi,69,LY,1586981287,78,32.12,20.07,63.07,17.81
248,Katsuura,92,JP,1586981287,81,35.13,140.3,53.6,21.92
249,Ambulu,17,ID,1586981287,80,-8.35,113.61,78.22,3.33
250,Maputo,79,MZ,1586981275,90,-25.97,32.59,70.23,4.61
251,Zelenoborsk,24,RU,1586981287,92,61.47,64.03,32.07,5.37
252,Isangel,92,VU,1586981287,78,-19.55,169.27,78.89,7.83
253,Biu,0,NG,1586981287,10,10.61,12.19,84.42,10.45
254,Upata,97,VE,1586981288,31,8.01,-62.4,89.49,6.6
255,Khovd,100,MN,1586981288,38,48.01,91.64,44.28,4.56
256,Samfya,93,ZM,1586981288,67,-11.36,29.56,66.33,4.97
257,Shakawe,56,BW,1586981288,33,-18.37,21.85,76.06,3.06
258,Jinxiang,97,CN,1586981288,77,22.86,115.7,66.24,0.65
259,Filingué,23,NE,1586981288,12,14.35,3.32,84.92,2.64
260,Krabi,40,TH,1586981289,100,8.07,98.91,79.0,2.24
261,Charters Towers,5,AU,1586981289,84,-20.1,146.27,65.95,5.48
262,Rome,20,US,1586981209,35,43.21,-75.46,44.01,13.87
263,Olinda,75,BR,1586981289,74,-8.01,-34.86,84.2,4.7
264,Tiarei,19,PF,1586981289,66,-17.53,-149.33,87.8,9.17
265,San Quintín,0,MX,1586981289,49,30.48,-115.95,69.42,11.1
266,Guerrero Negro,0,MX,1586981289,21,27.98,-114.06,80.1,13.6
267,Rio Grande,90,BR,1586981071,60,-32.03,-52.1,70.0,19.46
268,Visby,36,SE,1586981290,66,57.64,18.3,51.01,18.34
269,Paragominas,96,BR,1586981290,88,-2.97,-47.48,76.17,1.19
270,Hobyo,25,SO,1586981166,74,5.35,48.53,84.36,10.87
271,Saint Anthony,90,US,1586981239,56,45.02,-93.22,35.01,10.29
272,Djebeniana,99,TN,1586981290,77,35.03,10.91,66.2,8.05
273,Ugoofaaru,100,MV,1586981290,66,5.67,73.0,85.48,5.46
274,Kinkala,20,CG,1586981291,74,-4.36,14.76,82.4,4.7
275,Nishihara,40,JP,1586981291,77,26.18,127.76,68.0,10.29
276,Santa Rita,75,BR,1586981291,83,-7.11,-34.98,80.6,8.05
277,Praia da Vitória,75,PT,1586981015,67,38.73,-27.07,57.2,20.8
278,Colares,20,PT,1586981292,82,38.8,-9.45,60.8,13.87
279,Marzuq,76,YE,1586981292,49,14.4,46.47,74.53,4.99
280,Valle d'Aosta,6,IT,1586981292,36,45.77,7.42,60.8,3.36
281,San Jerónimo,63,PE,1586981292,21,-11.95,-75.28,60.3,5.46
282,Sungai Penuh,81,ID,1586981227,72,-2.08,101.38,65.53,2.08
283,Tuatapere,66,NZ,1586981292,88,-46.13,167.68,50.0,11.01
284,Shiyan,8,CN,1586981293,71,32.65,110.78,61.74,2.04
285,Matara,66,LK,1586981293,86,5.95,80.54,77.59,4.03
286,Road Town,40,VG,1586981293,70,18.42,-64.62,84.2,10.29
287,Kudahuvadhoo,87,MV,1586981293,65,2.67,72.89,85.06,1.9
